código,hotel_id,url,reviews,rating_promedio
UNKNOWN,13298314,https://www.booking.com/hotel/de/w6-gemutliche-wohnung-in-lichtenhain.de.html (W6),61,8.4
Zi2,11558797,https://www.booking.com/hotel/de/urlaubsmagie-flussblickwohnung-mit-whirl-pool-amp-sauna-zi2.de.html,5,8.0
H2,8542044,https://www.booking.com/hotel/de/helle-gemutliche-wohnung-mit-terrasse-und-pool-h2.de.html,5,7.4
HW3B,12209855,https://www.booking.com/hotel/de/hw3b-urlaubsmagie-grosses-wohnzimmer-amp-2-schlafzimmer.de.html,5,7.6
F0,12249141,https://www.booking.com/hotel/de/f0-urlaubsmagie-kleine-voll-ausgestattete-wohnung-mit-gemeinschaftsgarten-pool-a.de.html,5,9.2
S2,10649329,https://www.booking.com/hotel/de/50m-bis-zum-wanderweg-25min-fussweg-bis-zum-lichtenhainer-wasserfall-b2.de.html,5,8.0
H1,8541308,https://www.booking.com/hotel/de/gemutliche-wohnung-fur-2-mit-pool-und-terrasse-h1.de.html,5,7.2
H6,8542367,https://www.booking.com/hotel/de/sommerparadies-mit-terrasse-garten-pool-h6.de.html,5,7.6
HW2B,10758425,https://www.booking.com/hotel/de/wohlfuhlwohnung-mit-gemeinschaftsgarten-mit-pool-terrasse-amp-sauna-hw2b.de.html,5,9.0
B6,12412050,https://www.booking.com/hotel/de/b6-urlaubsmagie-inmitten-der-sachsischen-schweiz-mit-balkon-mit-ausblick-auf-die.de.html,5,8.8
Zi1,8535194,https://www.booking.com/hotel/de/idyllische-erholung-sauna-garten-pool-amp-fluss-zi1.de.html,5,7.0
UT,11557943,https://www.booking.com/hotel/de/urlaubsmagie-urlaubstraum-mit-whirl-pool-amp-sauna-ut.de.html,5,7.4
HW1B,12217644,https://www.booking.com/hotel/de/hw1b-urlaubsmagie-gemeinschaftsgarten-mit-pool-sauna-amp-terrasse.de.html,5,7.8
HW1,10056636,https://www.booking.com/hotel/de/gemutliche-grosse-wohnung-mit-pool-garten-amp-terrasse-hw1.de.html,5,8.0
S1,10649298,https://www.booking.com/hotel/de/mitten-in-der-sachsischen-schweiz-gemutliche-wohnung-fur-bis-zu-4p-b1.de.html,5,7.8
UO0,13130996,https://www.booking.com/hotel/de/uo0-urlaubsmagie-gemutliche-wohnung-fur-bis-zu-6p.de.html,5,9.4
HW2,9870792,https://www.booking.com/hotel/de/grosse-helle-wohnung-mit-garten-pool-amp-sauna-hw2.de.html,5,7.4
W2,12941184,https://www.booking.com/hotel/de/w2-urlaubsmagie-im-herzen-des-elbsandsteingebirges.de.html,5,9.0
HW4B,11623852,https://www.booking.com/hotel/de/urlaubsmagie-zentral-mit-gemeinschaftsgarten-pool-sauna-amp-whirlpool-hw4b.de.html,5,8.4
S3,10649367,https://www.booking.com/hotel/de/fusslaufig-ins-kirnitzschtal-b3.de.html,5,8.8
UO3,10057058,https://www.booking.com/hotel/de/gemutliche-urlaubsoase-mit-garten-grill-pool-amp-sauna-uo3.de.html,5,7.6
FAMZI,8539276,https://www.booking.com/hotel/de/familienwohnung-fur-3-mit-sauna-pool-terrasse-famzi.de.html,5,8.0
UO,8539982,https://www.booking.com/hotel/de/gemutliche-urlaubsoase-mit-pool-sauna-terrasse-uo.de.html,5,8.0
F1,10404036,https://www.booking.com/hotel/de/helle-wohnung-mit-gemeinschaftsgarten-pool-und-sauna-g1.de.html,5,7.2
L7,13986842,https://www.booking.com/hotel/de/l7-urlaubsmagie-kleine-wohnung-am-wanderweg.de.html,4,8.0
